timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:33:59.768,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:00.268,8,138,44.0,1.0,00 20 8A 00 2C 00 01 81
2026-02-17 20:34:00.774,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:01.275,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:01.774,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:02.288,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:02.776,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:03.281,7,49,,,00 20 31 22 00 01 81
2026-02-17 20:34:03.768,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:04.287,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:04.775,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:05.276,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:05.794,7,138,35.0,385.0,00 20 8A 00 23 01 81
2026-02-17 20:34:06.281,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:06.780,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:07.285,8,138,35.0,2.0,00 20 8A 00 23 00 02 81
2026-02-17 20:34:07.790,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:08.275,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:08.790,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:09.288,8,138,35.0,1.0,00 1F 8A 00 23 00 01 81
2026-02-17 20:34:09.787,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:10.289,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:10.788,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:11.288,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:11.786,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:12.286,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:12.791,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:13.299,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:13.790,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:14.294,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:14.796,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:15.296,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
